"","id","Longitude","Latitude","Altitude","VelocityX","VelocityY","VelocityZ","DroneHeading","Battery","Voltage","Current","Date","Method","VelocitySolid","Power","Velocity"
"807",9560,151.228217504606,-33.9315198073151,10.1999998092651,1.29999995231628,-8.89999961853027,0.100000001490116,-81,23,14328,-10125,"2016-08-29 13:45:40","9 ms final",9,145.071,8.99499822602313
"810",9563,151.22792706,-33.9314825639374,10.1999998092651,1.39999997615814,-8.89999961853027,0.100000001490116,-81.6,22,14323,-10228,"2016-08-29 13:45:43","9 ms final",9,146.495644,9.00999407010791
"811",9564,151.22783089024,-33.9314702714546,10.3000001907349,1.29999995231628,-8.89999961853027,0,-82.1,22,14360,-9470,"2016-08-29 13:45:44","9 ms final",9,135.9892,8.99444234435139
"812",9565,151.227734304187,-33.9314584832515,10.1999998092651,1.29999995231628,-8.89999961853027,0.200000002980232,-82,22,14394,-8746,"2016-08-29 13:45:45","9 ms final",9,125.889924,8.99666566495907
"813",9566,151.227637499181,-33.9314468650227,10.1999998092651,1.20000004768372,-8.89999961853027,0.100000001490116,-81,22,14412,-8509,"2016-08-29 13:45:46","9 ms final",9,122.631708,8.98109087608949
"814",9567,151.227540587259,-33.9314363570325,10.1999998092651,1.20000004768372,-8.89999961853027,0.200000002980232,-81.2,22,14383,-9066,"2016-08-29 13:45:47","9 ms final",9,130.396278,8.98276089659922
"815",9568,151.227444060765,-33.9314244549842,10.1000003814697,1.39999997615814,-8.89999961853027,0,-81,22,14336,-9988,"2016-08-29 13:45:48","9 ms final",9,143.187968,9.0094391136786
"816",9569,151.227348539233,-33.9314111334052,10.1999998092651,1.29999995231628,-8.89999961853027,0.100000001490116,-81.4,22,14336,-9988,"2016-08-29 13:45:49","9 ms final",9,143.187968,8.99499822602313
"817",9570,151.227242351238,-33.931397703673,10.1999998092651,1.39999997615814,-8.89999961853027,0,-82.2,22,14319,-10421,"2016-08-29 13:45:50","9 ms final",9,149.218299,9.0094391136786
"819",9572,151.227049236408,-33.9313709778765,10.1000003814697,1.39999997615814,-8.80000019073486,0,-82.5,22,14358,-9720,"2016-08-29 13:45:52","9 ms final",9,139.55976,8.91066794859826
"822",9575,151.226781113485,-33.9313372264377,10.1000003814697,0.800000011920929,-6,0,-82.2,22,14396,-8793,"2016-08-29 13:45:55","9 ms final",9,126.584028,6.05309838174414
"850",9603,151.227234123214,-33.9314390689836,9.89999961853027,-1.89999997615814,9.80000019073486,0,101.4,96,15892,-8998,"2016-08-29 13:47:57","10 ms final",10,142.996216,9.98248484335459
"851",9604,151.227329908216,-33.9314536438334,9.80000019073486,-1.89999997615814,9.80000019073486,-0.100000001490116,101.3,96,15833,-9632,"2016-08-29 13:47:58","10 ms final",10,152.503456,9.98298570809867
"852",9605,151.227448195453,-33.9314723347017,9.89999961853027,-1.89999997615814,9.89999961853027,-0.100000001490116,101.1,96,15833,-9632,"2016-08-29 13:47:59","10 ms final",10,152.503456,10.0811701878601
"854",9607,151.227661613251,-33.931506745723,10,-1.89999997615814,9.80000019073486,0,101.4,96,15921,-8832,"2016-08-29 13:48:01","10 ms final",10,140.614272,9.98248484335459
"855",9608,151.227768119935,-33.9315235086824,10.1000003814697,-1.89999997615814,9.80000019073486,0,101.6,96,15973,-8448,"2016-08-29 13:48:02","10 ms final",10,134.939904,9.98248484335459
"856",9609,151.227864425716,-33.9315386804381,10.1000003814697,-1.79999995231628,9.80000019073486,0,102.2,96,15986,-7983,"2016-08-29 13:48:03","10 ms final",10,127.616238,9.96393514464751
"857",9610,151.227981807658,-33.93155751133,10.1000003814697,-1.79999995231628,9.80000019073486,0,102,96,16005,-8033,"2016-08-29 13:48:04","10 ms final",10,128.568165,9.96393514464751
"858",9611,151.228077267819,-33.9315728314074,10.1000003814697,-1.79999995231628,9.80000019073486,0,101.9,96,15987,-7902,"2016-08-29 13:48:05","10 ms final",10,126.329274,9.96393514464751
"859",9612,151.22819363309,-33.9315915073197,10.1999998092651,-1.89999997615814,9.80000019073486,0.100000001490116,101.3,96,15981,-7852,"2016-08-29 13:48:06","10 ms final",10,125.482812,9.98298570809867
"860",9613,151.228300059615,-33.931608817241,10.1000003814697,-1.79999995231628,9.80000019073486,0,101.2,96,16005,-7835,"2016-08-29 13:48:07","10 ms final",10,125.399175,9.96393514464751
"861",9614,151.228396110157,-33.9316237255173,10.1000003814697,-1.79999995231628,9.80000019073486,0,101.3,96,15962,-8184,"2016-08-29 13:48:08","10 ms final",10,130.633008,9.96393514464751
