id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method,symbol
2683,151.2272568,-33.9311842,10,1.5,9.600000381,0,-101,-102,-98,-101,-101,-102,-103,-108,-8.4,47,14526,-10539,59:03.7,10,no_icon
2684,151.2272674,-33.93118281,10.10000038,1.5,9.600000381,0,-101,-102,-98,-101,-101,-102,-103,-108,-8.4,47,14526,-10539,59:03.9,10,no_icon
2685,151.2272777,-33.93118151,10.10000038,1.5,9.600000381,0,-101,-102,-98,-101,-101,-102,-103,-108,-8.3,47,14526,-10539,59:03.9,9.945219,googleblank
2686,151.2272882,-33.93118009,10.10000038,1.5,9.600000381,0,-101,-102,-98,-101,-101,-102,-103,-108,-8.2,47,14526,-10539,59:04.1,9.945219,no_icon
2687,151.2272985,-33.93117862,10.10000038,1.5,9.5,0,-101,-102,-98,-101,-101,-102,-103,-108,-8.3,47,14526,-10539,59:04.2,9.945219,no_icon
2688,151.2273089,-33.93117722,10.10000038,1.5,9.5,0,-101,-102,-98,-101,-101,-102,-103,-108,-8.5,47,14526,-10539,59:04.3,9.945219,no_icon
2689,151.2273191,-33.93117566,10.10000038,1.700000048,9.5,0,-101,-102,-98,-101,-101,-102,-103,-108,-9.8,47,14526,-10539,59:04.4,9.945219,no_icon
2690,151.2273294,-33.931174,10.10000038,2,9.5,0,-101,-102,-98,-101,-101,-102,-103,-108,-10.7,47,14526,-10539,59:04.5,9.945219,no_icon
2691,151.2273396,-33.931172,10.10000038,2.400000095,9.5,0,-101,-97,-99,-101,-101,-102,-102,-108,-10.8,47,14526,-10539,59:04.6,9.945219,no_icon
2692,151.22735,-33.93116971,10.10000038,2.599999905,9.5,0.100000001,-101,-97,-99,-101,-101,-102,-102,-108,-10.5,47,14526,-10539,59:04.7,9.945219,no_icon
2693,151.2273599,-33.93116727,10.10000038,2.599999905,9.5,0,-101,-97,-99,-101,-101,-102,-102,-108,-10,47,14557,-9802,59:04.8,9.945219,no_icon
2694,151.2273702,-33.9311648,10.10000038,2.700000048,9.5,0,-101,-97,-99,-101,-101,-102,-102,-108,-9.6,47,14557,-9802,59:04.9,9.945219,no_icon
2695,151.2273805,-33.93116207,10.10000038,2.700000048,9.5,0,-101,-97,-99,-101,-101,-102,-102,-108,-9.4,47,14557,-9802,59:05.0,9.945219,no_icon
2696,151.2273909,-33.9311596,10.10000038,2.700000048,9.5,0,-101,-97,-99,-101,-101,-102,-102,-108,-9.1,47,14557,-9802,59:05.1,9.945219,no_icon
2697,151.227401,-33.9311571,10.19999981,2.700000048,9.5,0,-101,-97,-99,-101,-101,-102,-102,-108,-9,47,14557,-9802,59:05.2,9.945219,no_icon
2698,151.2274113,-33.9311546,10.19999981,2.700000048,9.5,0,-101,-97,-99,-101,-101,-102,-102,-108,-8.9,47,14557,-9802,59:05.3,9.945219,no_icon
2699,151.2274216,-33.93115187,10.19999981,2.700000048,9.5,0,-101,-97,-99,-101,-101,-102,-102,-108,-8.8,47,14557,-9802,59:05.4,9.945219,no_icon
2700,151.2274319,-33.9311494,10.19999981,2.700000048,9.5,0,-101,-97,-99,-101,-101,-102,-102,-108,-8.8,47,14557,-9802,59:05.5,9.945219,no_icon
2701,151.227442,-33.9311467,10.19999981,2.799999952,9.5,0,-102,-102,-101,-101,-102,-99,-103,-108,-8.7,47,14557,-9802,59:05.6,9.945219,no_icon
2702,151.2274524,-33.93114416,10.19999981,2.799999952,9.5,0.100000001,-102,-102,-101,-101,-102,-99,-103,-108,-8.8,47,14557,-9802,59:05.7,9.945219,no_icon
2703,151.2274625,-33.9311413,10.19999981,2.799999952,9.5,0.100000001,-102,-102,-101,-101,-102,-99,-103,-108,-8.8,47,14518,-10976,59:05.8,9.945219,no_icon
2704,151.227473,-33.93113877,10.19999981,2.799999952,9.600000381,0,-102,-102,-101,-101,-102,-99,-103,-108,-8.7,47,14518,-10976,59:05.9,9.945219,no_icon
2705,151.2274832,-33.9311362,10.19999981,2.700000048,9.600000381,0.100000001,-102,-102,-101,-101,-102,-99,-103,-108,-8.7,47,14518,-10976,59:06.0,9.945219,no_icon
2706,151.2274935,-33.93113355,10.19999981,2.700000048,9.600000381,0,-102,-102,-101,-101,-102,-99,-103,-108,-8.7,47,14518,-10976,59:06.1,9.945219,no_icon
2707,151.2275039,-33.93113099,10.19999981,2.700000048,9.600000381,0.100000001,-102,-102,-101,-101,-102,-99,-103,-108,-8.6,47,14518,-10976,59:06.2,9.945219,no_icon
2708,151.2275144,-33.93112852,10.19999981,2.700000048,9.600000381,0.100000001,-102,-102,-101,-101,-102,-99,-103,-108,-8.6,47,14518,-10976,59:06.3,9.945219,no_icon
2709,151.2275247,-33.93112607,10.19999981,2.700000048,9.600000381,0,-102,-102,-101,-101,-102,-99,-103,-108,-8.6,47,14518,-10976,59:06.4,9.945219,no_icon
