id,Longitude,Latitude,Altitude,VelocityX,VelocityY,VelocityZ,Wifi1,Wifi2,Wifi3,Wifi4,Wifi5,Wifi6,Wifi7,Wifi8,DroneHeading,Battery,Voltage,Current,Date,Method,symbol
2371,151.2268666,-33.9312439,10,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.3,73,14842,-12174,48:52.8,10,no_icon
2372,151.2268666,-33.93124385,10,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.4,73,14842,-12174,48:52.9,10,no_icon
2373,151.2268667,-33.93124389,10,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.4,73,14842,-12174,48:53.0,10,no_icon
2374,151.2268667,-33.93124372,9.899999619,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.5,73,14842,-12174,48:53.1,10,no_icon
2375,151.2268668,-33.93124379,9.899999619,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.6,73,14842,-12174,48:53.2,10,no_icon
2376,151.226867,-33.93124375,9.899999619,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.7,73,14842,-12174,48:53.3,10,no_icon
2377,151.2268669,-33.93124375,9.899999619,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.7,73,14842,-12174,48:53.4,10,no_icon
2378,151.2268671,-33.9312437,9.899999619,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.7,73,14842,-12174,48:53.5,10,no_icon
2379,151.2268671,-33.93124376,9.899999619,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.8,73,14842,-12174,48:53.6,10,no_icon
2380,151.2268674,-33.93124381,9.899999619,0,0,0,-95,-101,-97,-100,-101,-92,-98,-108,-7.9,73,14920,-10840,48:53.7,10,no_icon
2381,151.2268675,-33.93124383,9.899999619,0,0,0,-92,-100,-99,-96,-100,-93,-94,-108,-8,73,14920,-10840,48:53.8,10,no_icon
2382,151.2268676,-33.93124396,9.899999619,0,0,0,-92,-100,-99,-96,-100,-93,-94,-108,-8.1,73,14920,-10840,48:53.9,10,no_icon
2383,151.2268676,-33.93124396,9.899999619,0,0,0,-92,-100,-99,-96,-100,-93,-94,-108,-8.1,73,14920,-10840,48:54.0,10,no_icon
2384,151.2268679,-33.9312442,9.899999619,-0.100000001,0.100000001,0,-92,-100,-99,-96,-100,-93,-94,-108,-8.2,73,14920,-10840,48:54.1,10,no_icon
2385,151.226868,-33.93124432,9.899999619,-0.100000001,0.100000001,0,-92,-100,-99,-96,-100,-93,-94,-108,-8.1,73,14920,-10840,48:54.2,10,no_icon
2386,151.2268681,-33.93124447,9.899999619,-0.100000001,0,0,-92,-100,-99,-96,-100,-93,-94,-108,-7.9,73,14920,-10840,48:54.3,10,no_icon
2387,151.2268683,-33.93124463,9.899999619,-0.100000001,0,0,-92,-100,-99,-96,-100,-93,-94,-108,-7.7,73,14920,-10840,48:54.4,10,no_icon
2388,151.2268684,-33.93124483,9.899999619,-0.100000001,0,0,-92,-100,-99,-96,-100,-93,-94,-108,-7.5,73,14920,-10840,48:54.5,10,no_icon
2389,151.2268684,-33.93124493,9.899999619,0,0,0,-92,-100,-99,-96,-100,-93,-94,-108,-7.2,73,14920,-10840,48:54.6,10,no_icon
2390,151.2268685,-33.93124498,9.899999619,0,0,0,-92,-100,-99,-96,-100,-93,-94,-108,-7,73,14901,-11049,48:54.7,10,no_icon
2391,151.2268685,-33.93124504,9.899999619,0,0,0,-95,-101,-93,-99,-100,-83,-101,-108,-7,73,14901,-11049,48:54.8,10,no_icon
2392,151.2268686,-33.93124515,9.899999619,0,0,0,-95,-101,-93,-99,-100,-83,-101,-108,-7.4,73,14901,-11049,48:54.9,10,no_icon
2393,151.2268686,-33.93124524,9.899999619,0,0.100000001,0,-95,-101,-93,-99,-100,-83,-101,-108,-7.9,73,14901,-11049,48:55.0,10,no_icon
2394,151.2268687,-33.93124523,9.899999619,0,0.300000012,0,-95,-101,-93,-99,-100,-83,-101,-108,-8.1,73,14901,-11049,48:55.1,10,no_icon
2395,151.2268693,-33.93124512,9.899999619,0,0.699999988,0,-95,-101,-93,-99,-100,-83,-101,-108,-8.4,73,14901,-11049,48:55.2,10,no_icon
2396,151.2268703,-33.9312452,9.899999619,0.100000001,1.200000048,0,-95,-101,-93,-99,-100,-83,-101,-108,-8.2,73,14901,-11049,48:55.3,10,no_icon
2397,151.2268719,-33.931245,9.899999619,0.200000003,1.799999952,0,-95,-101,-93,-99,-100,-83,-101,-108,-8,73,14901,-11049,48:55.4,10,no_icon
2398,151.2268743,-33.9312445,9.899999619,0.300000012,2.200000048,0,-95,-101,-93,-99,-100,-83,-101,-108,-7.6,73,14901,-11049,48:55.5,10,no_icon
2399,151.2268769,-33.93124413,9.800000191,0.400000006,2.799999952,0,-95,-101,-93,-99,-100,-83,-101,-108,-7.4,73,14901,-11049,48:55.6,10,no_icon
2400,151.2268807,-33.93124363,9.800000191,0.5,3.299999952,0,-95,-101,-93,-99,-100,-83,-101,-108,-7.5,72,14904,-10795,48:55.7,10,no_icon
2401,151.2268846,-33.9312431,9.800000191,0.600000024,3.799999952,0,-98,-101,-98,-100,-97,-94,-101,-108,-7.8,72,14904,-10795,48:55.8,10,no_icon
2402,151.2268891,-33.93124231,9.800000191,0.699999988,4.199999809,0,-98,-101,-98,-100,-97,-94,-101,-108,-8.2,72,14904,-10795,48:55.9,10,no_icon
2403,151.226894,-33.9312416,9.800000191,0.800000012,4.699999809,0,-98,-101,-98,-100,-97,-94,-101,-108,-8.4,72,14904,-10795,48:56.0,10,no_icon
2404,151.2269003,-33.93124049,9.800000191,0.899999976,5,0,-98,-101,-98,-100,-97,-94,-101,-108,-8.2,72,14904,-10795,48:56.1,10,no_icon
2405,151.2269054,-33.93123959,9.800000191,0.899999976,5.400000095,0,-98,-101,-98,-100,-97,-94,-101,-108,-7.6,72,14904,-10795,48:56.2,10,no_icon
